(title "Acoustic Pressure at receiver-15 (0.17101 0.984808 0.0301537)")
(labels "Time" "Acoustic Pressure")

((xy/key/label "Surface")
1.6033566 -0.0060389182
1.6033965 -0.0060220109
1.6034365 -0.0059511485
1.6034764 -0.0059759826
1.6035163 -0.0060772947
1.6035563 -0.006059973
1.6035962 -0.0060819662
1.6036361 -0.0061182082
1.6036761 -0.0060605388
1.603716 -0.0059705689
1.603756 -0.0059427042
1.6037959 -0.0059472448
1.6038358 -0.0059239888
1.6038758 -0.0059295138
1.6039157 -0.0059225792
1.6039556 -0.0059106611
1.6039956 -0.0058409618
1.6040355 -0.0057999655
1.6040754 -0.0057514934
1.6041154 -0.0057738912
1.6041553 -0.0057175932
1.6041952 -0.0056749866
1.6042352 -0.0056298566
1.6042751 -0.0056232102
1.604315 -0.0056346012
1.604355 -0.0056140753
1.6043949 -0.0056192125
1.6044348 -0.0056639775
1.6044748 -0.0056469408
1.6045147 -0.0056051309
1.6045547 -0.0055969041
1.6045946 -0.0056292261
1.6046345 -0.0056476532
1.6046745 -0.0056647998
1.6047144 -0.0056832964
1.6047543 -0.0057475511
1.6047943 -0.0057958341
1.6048342 -0.0057932981
1.6048741 -0.005746901
1.6049141 -0.0057099354
1.604954 -0.0057234019
1.6049939 -0.0057686139
1.6050339 -0.0057018506
1.6050738 -0.0056775217
1.6051137 -0.0056568086
1.6051537 -0.0056843502
1.6051936 -0.0056866449
1.6052336 -0.00571439
1.6052735 -0.0057385098
1.6053134 -0.0056421659
1.6053534 -0.0054953843
1.6053933 -0.0054713432
1.6054332 -0.0054928027
1.6054732 -0.0055769319
1.6055131 -0.0056386585
1.605553 -0.005669618
1.605593 -0.0057002888
1.6056329 -0.0057102018
1.6056728 -0.0056233699
1.6057128 -0.0055131223
1.6057527 -0.0054583549
1.6057926 -0.0054401774
1.6058326 -0.0054098517
1.6058725 -0.0054069185
1.6059124 -0.0053782132
1.6059524 -0.0053724227
1.6059923 -0.0053311014
1.6060323 -0.0052982168
1.6060722 -0.0052514328
1.6061121 -0.0052025393
1.6061521 -0.0052516386
1.606192 -0.0052966704
1.6062319 -0.0053362218
1.6062719 -0.0052867704
1.6063118 -0.0052528945
1.6063517 -0.0051619634
1.6063917 -0.0051013711
1.6064316 -0.0050839363
1.6064715 -0.0050688381
1.6065115 -0.0050571039
1.6065514 -0.0051151593
1.6065913 -0.0051634596
1.6066313 -0.0051400429
1.6066712 -0.0051105837
1.6067111 -0.0051641311
1.6067511 -0.0051597576
1.606791 -0.0051348354
1.606831 -0.0051568304
1.6068709 -0.0051254164
1.6069108 -0.0050725075
1.6069508 -0.0051480625
1.6069907 -0.0052089375
1.6070306 -0.0052241669
1.6070706 -0.0052415775
1.6071105 -0.0052661728
1.6071504 -0.0052512717
1.6071904 -0.0052861241
1.6072303 -0.0053103352
1.6072702 -0.0053172247
1.6073102 -0.0053146207
1.6073501 -0.0052575022
1.60739 -0.0052070557
1.60743 -0.0052574803
1.6074699 -0.0053651459
1.6075099 -0.0054547782
1.6075498 -0.0055349078
1.6075897 -0.0055270819
1.6076297 -0.0055740862
1.6076696 -0.0056620724
1.6077095 -0.0056270165
1.6077495 -0.0056126928
1.6077894 -0.005583155
1.6078293 -0.0055490127
1.6078693 -0.0054973988
1.6079092 -0.0055394815
1.6079491 -0.0056450027
1.6079891 -0.005666371
1.608029 -0.0055464297
1.6080689 -0.005483828
1.6081089 -0.0055318545
1.6081488 -0.0055537568
1.6081887 -0.0054561994
1.6082287 -0.005500651
1.6082686 -0.0056220242
1.6083086 -0.0056887898
1.6083485 -0.0056859292
1.6083884 -0.0056442837
1.6084284 -0.0056148958
1.6084683 -0.0055936449
1.6085082 -0.005523501
1.6085482 -0.0054795025
1.6085881 -0.0053649638
1.608628 -0.0053374395
1.608668 -0.0052999728
1.6087079 -0.0052641397
1.6087478 -0.0052226298
1.6087878 -0.0050791581
1.6088277 -0.0048885411
1.6088676 -0.0047877273
1.6089076 -0.0047417269
1.6089475 -0.0048182607
1.6089875 -0.0048902133
1.6090274 -0.0048555853
1.6090673 -0.0047747768
1.6091073 -0.0047019855
1.6091472 -0.0046637189
1.6091871 -0.0046609668
1.6092271 -0.0046842359
1.609267 -0.0047727209
1.6093069 -0.0048477324
1.6093469 -0.0048403936
1.6093868 -0.0048165098
1.6094267 -0.0047968933
1.6094667 -0.0048175287
1.6095066 -0.0049160081
1.6095465 -0.0049682623
1.6095865 -0.0050832042
1.6096264 -0.0051986547
1.6096663 -0.005319512
1.6097063 -0.0054230164
1.6097462 -0.005504088
1.6097862 -0.0056651342
1.6098261 -0.0058190706
1.609866 -0.0059628356
1.609906 -0.0060287942
1.6099459 -0.0059809969
1.6099858 -0.0059494269
1.6100258 -0.0059723645
1.6100657 -0.0060689375
1.6101056 -0.0061813514
1.6101456 -0.0062357555
1.6101855 -0.0061982777
1.6102254 -0.0061417674
1.6102654 -0.0061326092
1.6103053 -0.0061545442
1.6103452 -0.0061192955
1.6103852 -0.0060273013
1.6104251 -0.0059600775
1.610465 -0.0058620595
1.610505 -0.0056513948
1.6105449 -0.0054649664
1.6105849 -0.0054601408
1.6106248 -0.0054893084
1.6106647 -0.0054472615
1.6107047 -0.0054442245
1.6107446 -0.0055316929
1.6107845 -0.0056722192
1.6108245 -0.005749674
1.6108644 -0.0058055152
1.6109043 -0.0058234381
1.6109443 -0.0058598532
1.6109842 -0.0058451351
1.6110241 -0.0058016391
1.6110641 -0.0058238353
1.611104 -0.0058842744
1.6111439 -0.0059823329
1.6111839 -0.0060536796
1.6112238 -0.0060377065
1.6112638 -0.0060812542
1.6113037 -0.0061790179
1.6113436 -0.0063064303
1.6113836 -0.0064092106
1.6114235 -0.0064894264
1.6114634 -0.0065356381
1.6115034 -0.0065699625
1.6115433 -0.0065632551
1.6115832 -0.0065239831
1.6116232 -0.0065155393
1.6116631 -0.0065087494
1.611703 -0.0065545328
1.611743 -0.0066116289
1.6117829 -0.0066952901
1.6118228 -0.0067640948
