Frequency_Hz,SPL_dB
0.000000000000000000e+00,9.903101457494834392e+00
4.075621128734419507e+00,1.534579984053110024e+01
8.151242257468839014e+00,3.903342940969126040e+00
1.222686338620325941e+01,1.972702420785028465e+01
1.630248451493767803e+01,2.415008167944068873e+01
2.037810564367209665e+01,2.331602780607079950e+01
2.445372677240651882e+01,2.229270101118341074e+01
2.852934790114093744e+01,2.613175453394361014e+01
3.260496902987535606e+01,2.398006417045049332e+01
3.668059015860977468e+01,1.078045128332013647e+01
4.075621128734419329e+01,2.165368482606613298e+01
4.483183241607861191e+01,2.591846414812815524e+01
4.890745354481303764e+01,2.501708152687777797e+01
5.298307467354745626e+01,2.547894824275617864e+01
5.705869580228187488e+01,2.654118928015057577e+01
6.113431693101629349e+01,2.689859530888987749e+01
6.520993805975071211e+01,2.540312234339501174e+01
6.928555918848513784e+01,2.372880107668996530e+01
7.336118031721954935e+01,3.179095924377920213e+01
7.743680144595397508e+01,3.475567895586922873e+01
8.151242257468838659e+01,3.376860075267800454e+01
8.558804370342281231e+01,3.080955349386615083e+01
8.966366483215722383e+01,2.402515297298084818e+01
9.373928596089164955e+01,2.666184937939894084e+01
9.781490708962607528e+01,2.712718150337664724e+01
1.018905282183604868e+02,2.148060444249839662e+01
1.059661493470949125e+02,1.872989293059252702e+01
1.100417704758293240e+02,2.501759343441730010e+01
1.141173916045637498e+02,2.514851289474540508e+01
1.181930127332981613e+02,2.012136006348367090e+01
1.222686338620325870e+02,2.062884064388747873e+01
1.263442549907669985e+02,2.278932265651916822e+01
1.304198761195014242e+02,2.341690336391975080e+01
1.344954972482358357e+02,1.971695450261676896e+01
1.385711183769702757e+02,1.602513069187929773e+01
1.426467395057046872e+02,1.738988349841202563e+01
1.467223606344390987e+02,1.654895201136760718e+01
1.507979817631735102e+02,1.255804280506561987e+01
1.548736028919079502e+02,1.636571684695350015e+01
1.589492240206423617e+02,1.692619981971973431e+01
1.630248451493767732e+02,1.558171116007584622e+01
1.671004662781112131e+02,8.859534129910530353e+00
1.711760874068456246e+02,1.209921580030706068e+01
1.752517085355800361e+02,1.293140319281994621e+01
1.793273296643144477e+02,1.502683605832201508e+01
1.834029507930488876e+02,1.834647451005306706e+01
1.874785719217832991e+02,1.309499427007659555e+01
1.915541930505177106e+02,9.271829143136258722e+00
1.956298141792521506e+02,1.622115527981425487e+01
1.997054353079865621e+02,1.355342158055027113e+01
2.037810564367209736e+02,1.322970774749205525e+01
2.078566775654553851e+02,1.708326060736209229e+01
2.119322986941898250e+02,7.397866765782621812e+00
2.160079198229242365e+02,9.981922365038744971e+00
2.200835409516586481e+02,3.868018156393842943e+00
2.241591620803930596e+02,1.426484087747397567e+01
2.282347832091274995e+02,1.516070267043422959e+01
2.323104043378619110e+02,1.735259631756272114e+01
2.363860254665963225e+02,8.059286335607936280e+00
2.404616465953307625e+02,1.289158885770489427e+01
2.445372677240651740e+02,1.569697869419954905e+01
2.486128888527995855e+02,1.549856581140839040e+01
2.526885099815339970e+02,1.078532629058739900e+01
2.567641311102684085e+02,1.221425386346072095e+01
2.608397522390028485e+02,1.623624893339673037e+01
2.649153733677372884e+02,1.467559420632768941e+01
2.689909944964716715e+02,1.322791584649333352e+01
2.730666156252061114e+02,8.918883552709610640e+00
2.771422367539405514e+02,1.276170082952929974e+01
2.812178578826749344e+02,1.500282989534002986e+01
2.852934790114093744e+02,1.565727591297649113e+01
2.893691001401437575e+02,8.980648729851431256e+00
2.934447212688781974e+02,1.228021713946008298e+01
2.975203423976126373e+02,1.586534360564744262e+01
3.015959635263470204e+02,1.515316883589316888e+01
3.056715846550814604e+02,1.361738640204447393e+01
3.097472057838159003e+02,1.173002143558908728e+01
3.138228269125502834e+02,9.988767537228802951e+00
3.178984480412847233e+02,1.015384447093055797e+01
3.219740691700191633e+02,1.270727155031717182e+01
3.260496902987535464e+02,9.941816364348552426e+00
3.301253114274879863e+02,9.779242978575709344e+00
3.342009325562224262e+02,8.501717269011374256e+00
3.382765536849568093e+02,5.488490189448409495e-01
3.423521748136912493e+02,4.921248345275531122e+00
3.464277959424256323e+02,1.464052867666593372e+00
3.505034170711600723e+02,2.953175926098943194e+00
3.545790381998945122e+02,5.000518588630348482e+00
3.586546593286288953e+02,6.552173291887532613e+00
3.627302804573633352e+02,8.188087464156405204e+00
3.668059015860977752e+02,3.542069645590109062e+00
3.708815227148321583e+02,6.758063208805547006e+00
3.749571438435665982e+02,5.045571469445405022e+00
3.790327649723010381e+02,6.104245495166304103e+00
3.831083861010354212e+02,1.095226634553801759e+01
3.871840072297698612e+02,8.841789795988002965e+00
3.912596283585043011e+02,9.628597630341312552e+00
3.953352494872386842e+02,1.030287129822679759e+01
3.994108706159731241e+02,1.030853336336971182e+01
4.034864917447075072e+02,1.026703624912200752e+01
4.075621128734419472e+02,9.175997736424811535e+00
4.116377340021763871e+02,5.474319518856844979e-01
4.157133551309107702e+02,7.908479166912487202e+00
4.197889762596452101e+02,9.129472804732756686e+00
4.238645973883796501e+02,5.176415132939759189e+00
4.279402185171140331e+02,7.665888677298669407e+00
4.320158396458484731e+02,7.022946861202079560e+00
